Date,Close,Predections
2020-07-01,24.96,25.40185
2020-07-02,25.24,25.06855
2020-07-06,25.73,25.288961
2020-07-07,25.13,25.800095
2020-07-08,24.94,25.193419
2020-07-09,23.42,25.020695
2020-07-10,24.39,23.46785
2020-07-13,24.86,24.628195
2020-07-14,25.64,24.997494
2020-07-15,26.88,25.805899
2020-07-16,26.85,26.896017
2020-07-17,26.45,26.85168
2020-07-20,26.01,26.458195
2020-07-21,26.15,26.045351
2020-07-22,26.3,26.28226
2020-07-23,26.76,26.477282
2020-07-24,26.25,26.94923
2020-07-27,25.7,26.37401
2020-07-28,26.33,25.808418
2020-07-29,25.89,26.477861
2020-07-30,25.2,26.015408
2020-07-31,24.89,25.340382
2020-08-03,25.64,25.011532
2020-08-04,25.8,25.826296
2020-08-05,26.33,25.93566
2020-08-06,26.62,26.448101
2020-08-07,26.72,26.672487
2020-08-10,27.98,26.78035
2020-08-11,28.52,28.08302
2020-08-12,28.03,28.624605
2020-08-13,27.55,28.15163
2020-08-14,27.86,27.675308
2020-08-17,30.01,28.043087
2020-08-18,29.84,30.299856
2020-08-19,29.22,30.041357
2020-08-20,28.83,29.418295
2020-08-21,28.56,29.023233
2020-08-24,30.31,28.76727
2020-08-25,29.69,30.654058
2020-08-26,29.48,29.90779
2020-08-27,29.69,29.703741
2020-08-28,30.02,29.9196
2020-08-31,29.63,30.25213
2020-09-01,29.79,29.849066
2020-09-02,30.96,30.032433
2020-09-03,29.48,31.240574
2020-09-04,30.0,29.667597
2020-09-08,32.38,30.263727
2020-09-09,31.95,32.72006
2020-09-10,30.17,32.17991
2020-09-11,30.46,30.407444
2020-09-14,31.18,30.768627
2020-09-15,31.58,31.499722
2020-09-16,31.79,31.877035
2020-09-17,31.92,32.08117
2020-09-18,31.5,32.203403
2020-09-21,30.0,31.766708
2020-09-22,29.44,30.216965
2020-09-23,29.34,29.695377
2020-09-24,29.11,29.624111
2020-09-25,29.0,29.371655
2020-09-28,29.44,29.23417
2020-09-29,28.74,29.655468
2020-09-30,29.59,28.881235
2020-10-01,30.38,29.799797
2020-10-02,30.46,30.568808
2020-10-05,30.96,30.64262
2020-10-06,30.4,31.185171
2020-10-07,31.62,30.613794
2020-10-08,32.21,31.923193
2020-10-09,32.16,32.50932
2020-10-12,32.21,32.452053
2020-10-13,31.87,32.548958
2020-10-14,31.67,32.19102
2020-10-15,32.59,31.993872
2020-10-16,33.45,32.965942
2020-10-19,33.35,33.792397
2020-10-20,35.6,33.666187
2020-10-21,35.77,36.003708
2020-10-22,37.41,36.165497
2020-10-23,36.83,37.825222
2020-10-26,35.82,37.41164
2020-10-27,34.89,36.3421
2020-10-28,34.09,35.44837
2020-10-29,34.89,34.52891
2020-10-30,34.53,35.353817
2020-11-02,34.55,34.84957
2020-11-03,35.35,34.84419
2020-11-04,35.24,35.682007
2020-11-05,37.14,35.5068
2020-11-06,37.47,37.477856
2020-11-09,38.96,37.825054
2020-11-10,41.08,39.323112
2020-11-11,40.56,41.532192
2020-11-12,39.32,41.118256
2020-11-13,41.19,40.052464
2020-11-16,42.13,41.90489
2020-11-17,41.98,42.66106
2020-11-18,42.72,42.46404
2020-11-19,42.82,43.289112
2020-11-20,43.04,43.350895
2020-11-23,44.77,43.51403
2020-11-24,46.46,45.13105
2020-11-25,45.46,46.61406
2020-11-27,45.06,45.87738
2020-11-30,43.84,45.6277
2020-12-01,44.68,44.52699
